01,10
001,001,110
0001011,0000110,0000101,1000001,0110011,1100101,1011110
0001011,0000111,0000100,1000000,0110011,1100101,1100110
0001011,0000111,0000100,1000001,0110010,1100101,1101010
0001011,0000111,0000100,1000001,0110011,1100100,1101100
0001011,0000111,0000100,1000001,0110011,1100101,1101110
0001011,0000111,0000101,1000000,0110010,1100101,1110010
0001011,0000111,0000101,1000000,0110011,1100101,1110110
0001011,0000111,0000101,1000001,0110010,1100100,1111000
0001011,0000111,0000101,1000001,0110010,1100101,1111010
0001011,0000111,0000101,1000001,0110011,1100100,1111100
0001011,0000111,0000101,1000001,0110011,1100101,1111110
0001011,0000110,0000100,1000011,0110001,1101000,1001100
0001011,0000110,0000101,1000010,0110001,1101000,1010100
0001011,0000110,0000101,1000011,0110000,1101001,1011010
0001011,0000110,0000101,1000011,0110001,1101000,1011100
0001011,0000110,0000101,1000011,0110001,1101001,1011110
0001011,0000111,0000100,1000010,0110001,1101000,1100100
0001011,0000111,0000100,1000011,0110000,1101001,1101010
0001011,0000111,0000100,1000011,0110001,1101000,1101100
0001011,0000111,0000100,1000011,0110001,1101001,1101110
0001011,0000111,0000101,1000010,0110000,1101000,1110000
0001011,0000111,0000101,1000010,0110001,1101000,1110100
0001011,0000111,0000101,1000010,0110001,1101001,1110110
0001011,0000111,0000101,1000011,0110000,1101000,1111000
0001011,0000111,0000101,1000011,0110000,1101001,1111010
0001011,0000111,0000101,1000011,0110001,1101000,1111100
0001011,0000111,0000101,1000011,0110001,1101001,1111110
0001011,0000110,0000101,1000011,0110011,1101101,1011110
0001011,0000111,0000100,1000011,0110011,1101101,1101110
0001011,0000111,0000101,1000011,0110010,1101100,1111000
0001011,0000111,0000101,1000011,0110010,1101101,1111010
0001011,0000111,0000101,1000011,0110011,1101100,1111100
0001011,0000111,0000101,1000011,0110011,1101101,1111110
0001010,0000111,0000111,1000000,0110001,1110000,0110100
0001010,0000111,0000111,1000001,0110000,1110000,0111000
0001010,0000111,0000111,1000001,0110000,1110001,0111010
0001010,0000111,0000111,1000001,0110001,1110000,0111100
0001010,0000111,0000111,1000001,0110001,1110001,0111110
0001011,0000110,0000110,1000001,0110001,1110000,1001100
0001011,0000111,0000110,1000000,0110001,1110000,1100100
0001011,0000111,0000110,1000001,0110000,1110001,1101010
0001011,0000111,0000110,1000001,0110001,1110000,1101100
0001011,0000111,0000110,1000001,0110001,1110001,1101110
0001011,0000111,0000111,1000000,0110000,1110000,1110000
0001011,0000111,0000111,1000000,0110000,1110001,1110010
0001011,0000111,0000111,1000000,0110001,1110000,1110100
0001011,0000111,0000111,1000000,0110001,1110001,1110110
0001011,0000111,0000111,1000001,0110000,1110000,1111000
0001011,0000111,0000111,1000001,0110000,1110001,1111010
0001011,0000111,0000111,1000001,0110001,1110000,1111100
0001011,0000111,0000111,1000001,0110001,1110001,1111110
0001010,0000111,0000111,1000001,0110011,1110101,0111110
0001011,0000111,0000110,1000001,0110011,1110101,1101110
0001011,0000111,0000111,1000000,0110011,1110101,1110110
0001011,0000111,0000111,1000001,0110010,1110100,1111000
0001011,0000111,0000111,1000001,0110010,1110101,1111010
0001011,0000111,0000111,1000001,0110011,1110100,1111100
0001011,0000111,0000111,1000001,0110011,1110101,1111110
0001011,0000111,0000111,1000011,0110000,1111000,1111000
0001011,0000111,0000111,1000011,0110000,1111001,1111010
0001011,0000111,0000111,1000011,0110001,1111000,1111100
0001011,0000111,0000111,1000011,0110001,1111001,1111110
0001011,0000111,0000111,1000011,0110011,1111100,1111100
0001011,0000111,0000111,1000011,0110011,1111101,1111110
0001101,0000010,0000010,1000101,1001000,0110001,1001010
0001101,0000010,0000010,1000101,1001001,0110001,1001110
0001101,0000011,0000010,1000100,1001000,0110001,1100010
0001101,0000011,0000010,1000101,1001000,0110000,1101000
0001101,0000011,0000010,1000101,1001000,0110001,1101010
0001101,0000011,0000010,1000101,1001001,0110000,1101100
0001101,0000011,0000010,1000101,1001001,0110001,1101110
0001101,0000011,0000011,1000100,1001000,0110001,1110010
0001101,0000011,0000011,1000101,1001000,0110000,1111000
0001101,0000011,0000011,1000101,1001000,0110001,1111010
0001101,0000011,0000011,1000101,1001001,0110000,1111100
0001101,0000011,0000011,1000101,1001001,0110001,1111110
0001111,0000001,0000001,1000111,1001011,1001100,1111100
0001111,0000001,0000001,1000111,1001011,1001101,1111110
0001111,0000010,0000001,1000111,1001011,1101101,1011110
0001111,0000011,0000001,1000111,1001011,1101100,1111100
0001111,0000011,0000001,1000111,1001011,1101101,1111110
0001111,0000011,0000010,1000111,1001001,1111001,1101110
0001111,0000011,0000011,1000110,1001001,1111001,1110110
0001111,0000011,0000011,1000111,1001000,1111001,1111010
